거래일시,카드사,카드번호,승인번호,거래구분,공급가액,부가세,합계,할부
2025-01-03 17:42:41,KB국민,5370-68**-****-1152,93370583,승인,54545,5455,60000,00
2025-01-03 18:54:33,삼성,9410-86**-****-2122,19121552,승인,45455,4545,50000,00
2025-01-03 19:07:46,KB국민,9420-51**-****-7691,64009265,승인,10909,1091,12000,00
2025-01-03 19:15:25,하나,5320-84**-****-5033,89795010,승인,40909,4091,45000,00
2025-01-03 20:06:24,BC,9460-68**-****-4269,56930359,승인,36364,3636,40000,00
2025-01-03 20:09:17,현대,9440-74**-****-5325,75569635,승인,54545,5455,60000,00
2025-01-03 20:19:59,NH,9470-24**-****-5333,24366125,승인,40909,4091,45000,00
2025-01-03 20:27:24,BC,9460-68**-****-4269,56930359,취소,36364,3636,40000,00
2025-01-03 21:34:43,신한,9411-89**-****-6409,52133044,승인,9091,909,10000,00
2025-01-03 22:06:04,KB국민,4569-41**-****-2127,59597086,승인,50000,5000,55000,00
2025-01-03 22:07:24,신한,9411-10**-****-8144,79782527,승인,27273,2727,30000,00
2025-01-03 22:17:22,현대,4214-24**-****-1452,45059710,승인,63636,6364,70000,00
2025-01-03 22:59:48,삼성,9410-17**-****-7570,32097220,승인,50000,5000,55000,00
2025-01-04 13:01:59,KB국민,4569-35**-****-7498,20200074,승인,10909,1091,12000,00
2025-01-04 13:02:15,현대,4214-90**-****-7790,87265240,승인,72727,7273,80000,00
2025-01-04 13:08:30,KB국민,5370-99**-****-8619,44392446,승인,40909,4091,45000,00
2025-01-04 14:44:24,KB국민,9420-23**-****-1090,67062156,승인,72727,7273,80000,00
2025-01-04 14:50:37,KB국민,5370-70**-****-9375,32775593,승인,59091,5909,65000,00
2025-01-04 14:51:44,삼성,9410-27**-****-8478,72363359,승인,72727,7273,80000,00
2025-01-04 15:04:49,롯데,9450-12**-****-4266,93394260,승인,36364,3636,40000,00
2025-01-04 16:27:42,삼성,5765-11**-****-6590,66379329,승인,13636,1364,15000,00
2025-01-04 17:10:47,KB국민,9420-76**-****-5543,75041510,승인,72727,7273,80000,00
2025-01-04 17:34:29,삼성,9430-83**-****-1320,61053877,승인,63636,6364,70000,00
2025-01-04 17:55:29,삼성,9410-51**-****-8449,55298556,승인,45455,4545,50000,00
2025-01-04 18:22:19,BC,4556-79**-****-9818,90967191,승인,63636,6364,70000,00
2025-01-04 18:53:40,삼성,9430-82**-****-2983,15512205,승인,9091,909,10000,00
2025-01-04 19:17:28,현대,9440-52**-****-5451,52910691,승인,40909,4091,45000,00
2025-01-04 19:18:32,삼성,9410-38**-****-6085,36726767,승인,59091,5909,65000,00
2025-01-04 19:24:43,현대,6011-48**-****-1006,48508907,승인,45455,4545,50000,00
2025-01-04 19:35:38,하나,5320-64**-****-9270,83534128,승인,59091,5909,65000,00
2025-01-04 19:41:17,BC,6243-69**-****-8921,68461818,승인,27273,2727,30000,00
2025-01-04 20:06:27,현대,4214-65**-****-3506,33640702,승인,13636,1364,15000,00
2025-01-04 20:10:38,하나,5320-30**-****-2876,51746937,승인,27273,2727,30000,00
2025-01-04 20:24:17,신한,9411-16**-****-9837,56970882,승인,63636,6364,70000,00
2025-01-04 20:36:39,신한,4563-33**-****-6325,75437844,승인,16364,1636,18000,00
2025-01-04 20:37:17,BC,9460-67**-****-5569,42730796,승인,13636,1364,15000,00
2025-01-04 21:05:08,신한,5563-18**-****-4505,65682626,승인,45455,4545,50000,00
2025-01-04 21:31:14,KB국민,9420-31**-****-7624,72732043,승인,54545,5455,60000,06
2025-01-04 21:39:34,NH,5765-20**-****-1444,96268397,승인,36364,3636,40000,00
2025-01-05 11:14:59,롯데,4280-64**-****-4241,25405014,승인,54545,5455,60000,00
2025-01-05 11:27:47,현대,6011-96**-****-1339,46173157,승인,59091,5909,65000,03
2025-01-05 13:33:23,롯데,4280-16**-****-8242,37321124,승인,27273,2727,30000,00
2025-01-05 13:53:58,KB국민,5370-73**-****-3522,49172995,승인,6364,636,7000,00
2025-01-05 14:03:16,삼성,9410-29**-****-1878,30024960,승인,72727,7273,80000,06
2025-01-05 14:42:05,신한,9411-62**-****-1043,70465583,승인,45455,4545,50000,00
2025-01-05 14:47:30,롯데,4280-22**-****-5636,36054020,승인,54545,5455,60000,00
2025-01-05 15:08:40,삼성,9430-66**-****-8843,55728776,승인,72727,7273,80000,06
2025-01-05 15:08:59,KB국민,9420-25**-****-8941,13874790,승인,10909,1091,12000,00
2025-01-05 15:16:14,롯데,5284-78**-****-2958,34850391,승인,40909,4091,45000,00
2025-01-05 15:38:44,KB국민,5370-40**-****-2402,64549859,승인,54545,5455,60000,00
2025-01-05 16:23:11,삼성,9430-16**-****-1745,84270583,승인,54545,5455,60000,00
2025-01-05 16:49:25,BC,9460-69**-****-9889,65465150,승인,22727,2273,25000,00
2025-01-05 17:15:19,KB국민,4569-55**-****-6419,70900658,승인,59091,5909,65000,00
2025-01-05 17:28:19,신한,5563-36**-****-2625,93955206,승인,63636,6364,70000,00
2025-01-05 17:31:18,BC,4556-50**-****-2442,43876400,승인,63636,6364,70000,00
2025-01-05 18:17:26,하나,9480-80**-****-8483,29413516,승인,18182,1818,20000,00
2025-01-05 18:19:44,하나,4568-20**-****-8172,90267122,승인,63636,6364,70000,00
2025-01-05 18:41:09,BC,4556-66**-****-5728,26690465,승인,54545,5455,60000,03
2025-01-05 18:48:15,현대,9440-47**-****-2524,39742165,승인,72727,7273,80000,00
2025-01-05 18:48:48,KB국민,4569-84**-****-3973,68503492,승인,45455,4545,50000,00
2025-01-05 19:30:18,신한,5563-99**-****-5632,70939053,승인,36364,3636,40000,00
2025-01-05 19:31:05,신한,5563-30**-****-2713,54265498,승인,72727,7273,80000,00
2025-01-05 20:19:05,삼성,5765-76**-****-4697,61053474,승인,50000,5000,55000,00
2025-01-05 22:38:51,현대,4214-80**-****-1224,64759583,승인,9091,909,10000,00
2025-01-06 10:09:26,삼성,9430-89**-****-6546,63349308,승인,31818,3182,35000,00
2025-01-06 11:47:30,KB국민,9420-73**-****-3492,14968688,승인,40909,4091,45000,00
2025-01-06 12:23:46,삼성,9430-63**-****-6352,33574011,승인,7273,727,8000,00
2025-01-06 13:28:22,신한,5563-68**-****-5097,50550084,승인,45455,4545,50000,00
2025-01-06 13:37:21,BC,4556-77**-****-2633,71327848,승인,27273,2727,30000,00
2025-01-06 14:24:54,삼성,9430-83**-****-6881,49711319,승인,40909,4091,45000,00
2025-01-06 17:15:33,KB국민,5370-20**-****-3868,91804602,승인,50000,5000,55000,00
2025-01-06 17:44:19,삼성,9410-55**-****-5806,60310319,승인,36364,3636,40000,00
2025-01-06 19:15:40,하나,4568-91**-****-2612,23489853,승인,45455,4545,50000,00
2025-01-06 19:29:16,NH,4547-96**-****-5712,83363160,승인,36364,3636,40000,00
2025-01-06 19:43:48,현대,6011-49**-****-1645,69166287,승인,7273,727,8000,00
2025-01-06 19:54:21,KB국민,9420-79**-****-8994,14818295,승인,54545,5455,60000,00
2025-01-06 20:24:29,BC,9460-39**-****-7274,65133300,승인,45455,4545,50000,00
2025-01-06 20:37:42,BC,4556-52**-****-6654,84077101,승인,50000,5000,55000,00
2025-01-06 20:57:18,현대,4214-91**-****-4588,35519083,승인,40909,4091,45000,00
2025-01-06 21:17:49,신한,4563-46**-****-1042,50071487,승인,50000,5000,55000,00
2025-01-06 21:39:43,KB국민,9420-39**-****-3344,71894493,승인,40909,4091,45000,00
2025-01-06 22:18:01,신한,5563-87**-****-1803,76669607,승인,50000,5000,55000,00
2025-01-07 12:25:00,KB국민,4569-96**-****-7038,45186708,승인,36364,3636,40000,00
2025-01-07 12:43:23,NH,9470-45**-****-7523,35475673,승인,45455,4545,50000,00
2025-01-07 13:17:39,KB국민,4569-86**-****-7240,81210133,승인,27273,2727,30000,00
2025-01-07 14:54:39,KB국민,4569-86**-****-7240,81210133,취소,27273,2727,30000,00
2025-01-07 15:08:50,신한,5563-85**-****-4394,38984499,승인,45455,4545,50000,00
2025-01-07 16:32:38,삼성,5765-93**-****-2874,97364555,승인,16364,1636,18000,00
2025-01-07 16:47:44,KB국민,5370-93**-****-7797,23290458,승인,45455,4545,50000,00
2025-01-07 17:06:31,삼성,9410-87**-****-6277,29909029,승인,18182,1818,20000,00
2025-01-07 18:04:09,BC,6243-81**-****-7511,59093496,승인,40909,4091,45000,00
2025-01-07 18:52:40,삼성,9410-88**-****-6374,39711402,승인,45455,4545,50000,00
2025-01-07 18:58:17,신한,4563-53**-****-5835,25457816,승인,40909,4091,45000,00
2025-01-07 19:40:52,NH,4547-27**-****-2911,16086345,승인,50000,5000,55000,00
2025-01-07 20:14:21,롯데,4280-45**-****-1046,29419691,승인,40909,4091,45000,00
2025-01-07 20:15:37,삼성,9410-77**-****-7897,25253751,승인,45455,4545,50000,00
2025-01-07 20:30:28,KB국민,9420-88**-****-4629,15820356,승인,45455,4545,50000,00
2025-01-07 20:39:26,삼성,9430-40**-****-8285,58678896,승인,45455,4545,50000,00
2025-01-07 20:58:55,신한,9411-71**-****-1996,63904155,승인,54545,5455,60000,00
2025-01-07 21:19:31,삼성,5765-59**-****-3222,70887034,승인,36364,3636,40000,00
2025-01-07 22:34:16,삼성,9410-11**-****-3159,58082464,승인,40909,4091,45000,00
2025-01-07 22:54:52,삼성,5765-16**-****-1349,54762841,승인,50000,5000,55000,00
2025-01-08 12:03:09,롯데,9450-44**-****-2336,69473616,승인,31818,3182,35000,00
2025-01-08 12:06:47,BC,6243-85**-****-1982,85374852,승인,36364,3636,40000,00
2025-01-08 14:09:36,삼성,5765-21**-****-1502,81200181,승인,40909,4091,45000,00
2025-01-08 14:26:29,삼성,9430-82**-****-6314,90023800,승인,36364,3636,40000,00
2025-01-08 16:00:31,삼성,9430-39**-****-9725,77144075,승인,16364,1636,18000,00
2025-01-08 16:06:36,신한,9411-54**-****-2773,84660688,승인,45455,4545,50000,00
2025-01-08 16:16:23,현대,4214-21**-****-2099,21457410,승인,31818,3182,35000,00
2025-01-08 16:48:17,신한,5563-87**-****-1430,98292612,승인,45455,4545,50000,00
2025-01-08 17:14:26,BC,6243-50**-****-2557,67279295,승인,45455,4545,50000,00
2025-01-08 17:18:43,KB국민,9420-15**-****-6053,39597483,승인,27273,2727,30000,00
2025-01-08 17:38:03,신한,9411-42**-****-3248,48848936,승인,4545,455,5000,00
2025-01-08 18:42:07,신한,4563-46**-****-1842,90585678,승인,50000,5000,55000,00
2025-01-08 19:31:38,KB국민,5370-24**-****-9394,56328316,승인,18182,1818,20000,00
2025-01-08 20:17:01,신한,4563-54**-****-6567,10819505,승인,40909,4091,45000,00
2025-01-09 12:29:28,삼성,9430-92**-****-2257,22119391,승인,27273,2727,30000,00
2025-01-09 13:04:30,현대,4214-55**-****-1920,78093604,승인,40909,4091,45000,00
2025-01-09 13:12:11,삼성,9410-90**-****-3902,76319264,승인,45455,4545,50000,00
2025-01-09 13:23:58,KB국민,4569-90**-****-1857,96879854,승인,36364,3636,40000,00
2025-01-09 13:32:12,신한,5563-40**-****-3419,23798190,승인,36364,3636,40000,00
2025-01-09 16:21:06,현대,4214-94**-****-5128,90893133,승인,22727,2273,25000,00
2025-01-09 17:05:25,롯데,9450-75**-****-2251,94989976,승인,45455,4545,50000,00
2025-01-09 17:36:48,KB국민,9420-90**-****-6295,52431444,승인,54545,5455,60000,00
2025-01-09 17:47:02,삼성,9430-83**-****-8033,64280720,승인,50000,5000,55000,00
2025-01-09 18:11:02,현대,4214-76**-****-9586,91846696,승인,40909,4091,45000,00
2025-01-09 19:20:38,KB국민,4569-53**-****-2695,21318464,승인,50000,5000,55000,00
2025-01-09 19:26:18,KB국민,4569-89**-****-3815,71753160,승인,36364,3636,40000,00
2025-01-09 19:32:24,KB국민,9420-67**-****-1672,86726461,승인,50000,5000,55000,00
2025-01-09 20:58:23,KB국민,5370-65**-****-4986,89036966,승인,36364,3636,40000,00
2025-01-10 10:55:30,현대,4214-12**-****-5155,57928328,승인,36364,3636,40000,00
2025-01-10 11:21:56,KB국민,5370-66**-****-3712,15864298,승인,45455,4545,50000,00
2025-01-10 14:08:09,신한,9411-79**-****-9317,80669879,승인,40909,4091,45000,00
2025-01-10 15:51:50,NH,5765-69**-****-8218,47818761,승인,72727,7273,80000,00
2025-01-10 16:21:52,BC,6243-99**-****-8612,74227366,승인,7273,727,8000,00
2025-01-10 17:25:32,신한,4563-13**-****-4678,52773159,승인,59091,5909,65000,00
2025-01-10 17:43:46,하나,5320-39**-****-8355,81673763,승인,50000,5000,55000,00
2025-01-10 17:50:39,삼성,9430-12**-****-9782,94819556,승인,72727,7273,80000,00
2025-01-10 18:09:58,신한,5563-26**-****-7421,89865081,승인,59091,5909,65000,00
2025-01-10 18:15:45,신한,9411-33**-****-7825,99170406,승인,45455,4545,50000,06
2025-01-10 18:46:38,삼성,9430-16**-****-2996,42002808,승인,63636,6364,70000,00
2025-01-10 19:05:19,현대,9440-21**-****-9624,96707983,승인,63636,6364,70000,00
2025-01-10 19:32:23,신한,9411-53**-****-4509,75266178,승인,36364,3636,40000,00
2025-01-10 19:33:23,하나,5320-74**-****-9312,84377016,승인,40909,4091,45000,00
2025-01-10 19:51:08,현대,4214-47**-****-1605,37057085,승인,6364,636,7000,00
2025-01-10 19:55:23,현대,6011-46**-****-3042,21257528,승인,40909,4091,45000,00
2025-01-10 20:17:28,BC,9460-54**-****-8391,13579612,승인,45455,4545,50000,00
2025-01-10 20:22:15,롯데,4280-27**-****-6447,15950635,승인,6364,636,7000,00
2025-01-10 20:30:28,NH,9470-37**-****-5193,30068183,승인,36364,3636,40000,00
2025-01-10 20:32:33,하나,5320-42**-****-3267,17003454,승인,63636,6364,70000,00
2025-01-10 21:53:45,롯데,5284-99**-****-8740,28628439,승인,59091,5909,65000,00
2025-01-11 13:04:28,NH,9470-95**-****-6236,56630633,승인,45455,4545,50000,00
2025-01-11 13:10:10,NH,5765-20**-****-5653,43635675,승인,59091,5909,65000,00
2025-01-11 13:49:16,신한,5563-35**-****-9047,26460116,승인,72727,7273,80000,00
2025-01-11 13:56:05,신한,5563-77**-****-8842,65135987,승인,40909,4091,45000,00
2025-01-11 15:12:50,신한,4563-69**-****-7044,84040798,승인,45455,4545,50000,00
2025-01-11 15:35:17,현대,6011-21**-****-9740,77454225,승인,7273,727,8000,00
2025-01-11 15:55:49,BC,4556-25**-****-5476,59394697,승인,36364,3636,40000,00
2025-01-11 16:19:32,하나,4568-92**-****-1599,35649468,승인,63636,6364,70000,00
2025-01-11 16:51:33,BC,9460-87**-****-8055,34220459,승인,54545,5455,60000,00
2025-01-11 17:25:47,NH,9470-98**-****-9129,76776459,승인,72727,7273,80000,00
2025-01-11 17:41:17,하나,4568-59**-****-9482,85386435,승인,50000,5000,55000,03
2025-01-11 18:20:06,신한,4563-67**-****-6021,90882505,승인,40909,4091,45000,00
2025-01-11 19:10:44,신한,5563-45**-****-8126,95828117,승인,72727,7273,80000,06
2025-01-11 19:22:08,롯데,4280-25**-****-1907,79538491,승인,45455,4545,50000,00
2025-01-11 19:35:34,NH,5765-56**-****-3852,78284040,승인,54545,5455,60000,00
2025-01-11 19:37:37,삼성,5765-82**-****-6531,15529005,승인,7273,727,8000,00
2025-01-11 19:43:28,신한,5563-77**-****-3255,59251188,승인,59091,5909,65000,00
2025-01-11 20:01:05,하나,5320-93**-****-5336,38294221,승인,4545,455,5000,00
2025-01-11 20:26:39,KB국민,9420-47**-****-9938,96155337,승인,4545,455,5000,00
2025-01-11 20:52:36,삼성,9430-67**-****-2215,72523073,승인,40909,4091,45000,00
2025-01-11 21:28:36,삼성,9430-67**-****-2215,72523073,취소,40909,4091,45000,00
2025-01-11 21:43:50,삼성,9430-82**-****-7272,14346684,승인,72727,7273,80000,06
2025-01-11 22:03:04,신한,5563-13**-****-3621,29163535,승인,63636,6364,70000,00
2025-01-12 10:06:27,NH,4547-15**-****-6995,63765155,승인,45455,4545,50000,00
2025-01-12 11:35:12,KB국민,9420-89**-****-5582,92012822,승인,59091,5909,65000,06
2025-01-12 11:49:05,KB국민,5370-63**-****-3868,33593960,승인,50000,5000,55000,00
2025-01-12 13:06:25,롯데,5284-35**-****-3363,90861208,승인,59091,5909,65000,00
2025-01-12 14:10:31,KB국민,5370-60**-****-2475,77839607,승인,72727,7273,80000,00
2025-01-12 14:54:40,BC,6243-21**-****-6372,63798927,승인,16364,1636,18000,00
2025-01-12 15:19:49,현대,4214-71**-****-6194,56815569,승인,54545,5455,60000,00
2025-01-12 15:30:13,BC,6243-27**-****-5450,24660143,승인,50000,5000,55000,00
2025-01-12 15:48:17,신한,5563-43**-****-1187,97735896,승인,13636,1364,15000,00
2025-01-12 16:04:44,삼성,9430-69**-****-8933,37383505,승인,36364,3636,40000,00
2025-01-12 16:09:20,롯데,5284-57**-****-3142,79119463,승인,59091,5909,65000,00
2025-01-12 16:38:06,신한,5563-77**-****-9901,76291802,승인,13636,1364,15000,00
2025-01-12 17:15:03,KB국민,5370-97**-****-7642,77447155,승인,6364,636,7000,00
2025-01-12 17:15:13,삼성,5765-46**-****-8710,82033413,승인,59091,5909,65000,00
2025-01-12 17:26:09,현대,6011-17**-****-8726,28533117,승인,63636,6364,70000,00
2025-01-12 17:38:57,신한,9411-88**-****-7438,50162553,승인,45455,4545,50000,00
2025-01-12 17:45:30,현대,9440-80**-****-1084,31198492,승인,40909,4091,45000,00
2025-01-12 17:59:56,KB국민,4569-46**-****-6262,96690951,승인,72727,7273,80000,00
2025-01-12 18:20:15,삼성,9410-16**-****-2586,48951595,승인,72727,7273,80000,00
2025-01-12 18:32:02,삼성,5765-70**-****-6456,79703656,승인,36364,3636,40000,00
2025-01-12 18:33:40,삼성,9410-34**-****-2800,12541730,승인,63636,6364,70000,00
2025-01-12 18:35:20,KB국민,5370-78**-****-8531,55946354,승인,72727,7273,80000,00
2025-01-12 18:43:49,현대,9440-81**-****-5571,50063879,승인,54545,5455,60000,00
2025-01-12 18:59:50,신한,5563-60**-****-7220,56323191,승인,54545,5455,60000,00
2025-01-12 19:11:08,신한,9411-43**-****-1111,61482483,승인,18182,1818,20000,00
2025-01-12 19:32:53,현대,9440-52**-****-7035,24710878,승인,72727,7273,80000,00
2025-01-12 19:37:15,삼성,9410-16**-****-4814,23448342,승인,50000,5000,55000,00
2025-01-12 19:41:16,삼성,9430-82**-****-5833,35925669,승인,7273,727,8000,00
2025-01-12 21:02:53,롯데,4280-14**-****-5742,11243818,승인,63636,6364,70000,00
2025-01-12 21:08:54,KB국민,5370-52**-****-2845,31809610,승인,22727,2273,25000,00
2025-01-12 21:55:39,신한,9411-83**-****-6364,51971886,승인,63636,6364,70000,00
2025-01-12 21:56:45,현대,6011-57**-****-5833,92493631,승인,10909,1091,12000,00
2025-01-12 22:37:19,KB국민,4569-16**-****-4728,88319168,승인,36364,3636,40000,00
2025-01-12 22:51:09,삼성,9410-66**-****-6674,98043078,승인,54545,5455,60000,00
2025-01-13 13:47:38,KB국민,9420-78**-****-8714,99133246,승인,36364,3636,40000,00
2025-01-13 15:04:06,삼성,5765-41**-****-1797,15937353,승인,27273,2727,30000,00
2025-01-13 16:04:34,NH,9470-14**-****-8734,48532662,승인,27273,2727,30000,00
2025-01-13 17:24:52,신한,4563-45**-****-3541,35297417,승인,9091,909,10000,00
2025-01-13 17:49:08,신한,4563-58**-****-7184,20770971,승인,50000,5000,55000,00
2025-01-13 18:46:14,롯데,5284-96**-****-8585,83074216,승인,4545,455,5000,00
2025-01-13 19:42:55,삼성,9410-78**-****-3924,62755436,승인,54545,5455,60000,00
2025-01-13 20:25:16,롯데,4280-15**-****-2196,66867700,승인,36364,3636,40000,00
2025-01-13 20:29:08,KB국민,9420-96**-****-8575,51361818,승인,54545,5455,60000,00
2025-01-13 20:48:15,BC,4556-56**-****-9653,20482769,승인,54545,5455,60000,00
2025-01-13 21:07:03,NH,5765-31**-****-3455,54039203,승인,54545,5455,60000,00
2025-01-13 21:28:07,현대,4214-75**-****-2489,69791674,승인,40909,4091,45000,00
2025-01-13 21:46:48,삼성,5765-88**-****-7868,12099943,승인,6364,636,7000,00
2025-01-14 11:22:41,롯데,5284-62**-****-7821,30027648,승인,40909,4091,45000,00
2025-01-14 14:55:49,삼성,9430-83**-****-4836,52802529,승인,27273,2727,30000,00
2025-01-14 15:14:24,BC,4556-42**-****-6530,75581613,승인,27273,2727,30000,00
2025-01-14 16:03:35,BC,6243-81**-****-7999,76521096,승인,45455,4545,50000,00
2025-01-14 16:11:48,KB국민,4569-69**-****-3365,17734153,승인,45455,4545,50000,00
2025-01-14 18:26:35,삼성,9410-92**-****-6411,20612653,승인,54545,5455,60000,00
2025-01-14 18:49:43,신한,5563-38**-****-9540,65507111,승인,45455,4545,50000,00
2025-01-14 19:01:16,NH,5765-47**-****-7841,30456313,승인,22727,2273,25000,00
2025-01-14 19:19:16,KB국민,4569-22**-****-8635,73013937,승인,13636,1364,15000,00
2025-01-14 19:38:02,신한,5563-71**-****-4555,38036618,승인,36364,3636,40000,00
2025-01-14 19:45:13,NH,4547-69**-****-7236,81625307,승인,50000,5000,55000,00
2025-01-14 20:20:58,신한,4563-82**-****-1749,39698906,승인,9091,909,10000,00
2025-01-14 21:21:19,신한,9411-71**-****-2922,42560305,승인,36364,3636,40000,00
2025-01-14 21:54:23,KB국민,5370-44**-****-1844,60622628,승인,36364,3636,40000,00
2025-01-14 22:41:47,KB국민,9420-31**-****-6770,28784915,승인,18182,1818,20000,00
2025-01-15 11:00:44,삼성,9430-82**-****-6427,22799248,승인,31818,3182,35000,00
2025-01-15 11:27:14,신한,5563-51**-****-7499,13976288,승인,27273,2727,30000,00
2025-01-15 12:19:28,롯데,9450-21**-****-3170,35151299,승인,13636,1364,15000,00
2025-01-15 13:40:14,현대,9440-74**-****-4583,71204580,승인,27273,2727,30000,00
2025-01-15 16:39:40,NH,9470-78**-****-1108,84040345,승인,45455,4545,50000,00
2025-01-15 17:01:33,KB국민,9420-32**-****-8054,24363501,승인,45455,4545,50000,00
2025-01-15 17:50:40,롯데,5284-23**-****-6909,22283664,승인,7273,727,8000,00
2025-01-15 19:05:49,신한,9411-44**-****-2344,30699187,승인,54545,5455,60000,00
2025-01-15 19:34:21,롯데,4280-74**-****-2284,56420476,승인,50000,5000,55000,00
2025-01-15 19:50:28,신한,4563-33**-****-8075,88634827,승인,50000,5000,55000,00
2025-01-15 19:54:41,삼성,9430-80**-****-7179,73888323,승인,36364,3636,40000,00
2025-01-15 20:05:23,KB국민,9420-48**-****-4700,20820219,승인,50000,5000,55000,00
2025-01-15 21:33:09,신한,5563-55**-****-5135,45879718,승인,40909,4091,45000,00
2025-01-15 21:34:41,KB국민,5370-10**-****-1794,65350347,승인,36364,3636,40000,00
2025-01-15 21:43:59,NH,9470-50**-****-3938,12101593,승인,45455,4545,50000,00
2025-01-15 21:58:02,신한,5563-44**-****-8790,16249441,승인,40909,4091,45000,00
2025-01-15 22:37:09,NH,5765-82**-****-4939,62231715,승인,50000,5000,55000,00
2025-01-16 12:45:07,BC,6243-96**-****-2791,32059232,승인,4545,455,5000,00
2025-01-16 14:17:26,KB국민,5370-42**-****-6916,43096758,승인,36364,3636,40000,00
2025-01-16 14:24:10,신한,4563-28**-****-9079,18491573,승인,31818,3182,35000,00
2025-01-16 15:24:49,롯데,4280-83**-****-4977,79941466,승인,27273,2727,30000,00
2025-01-16 15:32:47,KB국민,5370-57**-****-8303,62497139,승인,45455,4545,50000,00
2025-01-16 16:16:42,현대,4214-67**-****-2211,90253323,승인,31818,3182,35000,00
2025-01-16 17:43:37,삼성,9430-47**-****-2712,65831276,승인,54545,5455,60000,00
2025-01-16 18:06:01,신한,9411-59**-****-6315,11656329,승인,36364,3636,40000,00
2025-01-16 18:25:34,NH,4547-14**-****-9907,58255231,승인,54545,5455,60000,00
2025-01-16 18:30:06,롯데,5284-18**-****-6225,50300763,승인,18182,1818,20000,00
2025-01-16 18:36:50,신한,4563-56**-****-7437,25285764,승인,40909,4091,45000,00
2025-01-16 19:31:38,신한,4563-60**-****-1110,54589439,승인,54545,5455,60000,00
2025-01-16 19:36:41,하나,4568-11**-****-2735,23234748,승인,50000,5000,55000,00
2025-01-16 19:44:12,신한,4563-98**-****-5775,94946730,승인,50000,5000,55000,00
